policy,metric,nominal_n,nominal_mean,nominal_sd,nominal_median,nominal_iqr,moderate_n,moderate_mean,moderate_sd,moderate_median,moderate_iqr,severe_n,severe_mean,severe_sd,severe_median,severe_iqr
no_reward,average_voltage_pu,100,0.9594897959183676,0.0058456281091607,0.961428571428572,0.0,30,0.4721632653061224,0.1336301760126579,0.4756122448979591,0.19,30,0.2447414965986394,0.0526760142686895,0.2220408163265305,0.0587755102040816
no_reward,minimum_voltage_pu,100,0.8550000000000001,0.2864357773488754,0.95,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_reward,maximum_voltage_pu,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
no_reward,successful_restoration_count,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_reward,controller_runtime_s,100,0.126835,0.0120836259107734,0.1255,0.01905,30,0.3982966666666667,0.0386991444557782,0.3887,0.0378,30,0.4197833333333332,0.0538952053611408,0.4076999999999999,0.064025
no_reward,runtime_s,100,1.6655599999999997,0.1442762872779414,1.6825,0.224275,30,1.2705966666666666,0.1028579150000665,1.25885,0.1120499999999999,30,1.2631,0.1227191804135739,1.2541,0.1266750000000001
no_twin,ens,100,30.0,0.0,30.0,0.0,30,50.0,0.0,50.0,0.0,30,79.66666666666667,1.8257418583505545,80.0,0.0
no_twin,saidi,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_twin,saifi,100,0.0612244897959183,6.973850769498386e-18,0.0612244897959183,0.0,30,0.1020408163265305,2.823006427041851e-17,0.1020408163265306,0.0,30,0.1625850340136055,0.0037260037925521,0.1632653061224489,0.0
no_twin,restoration_time_seconds,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_twin,critical_load_restored_pct,100,100.0,5.3440020983711266e-15,100.0,0.0,30,30.0,46.6091599699399,0.0,100.0,30,0.0,0.0,0.0,0.0
no_twin,voltage_violation_count,100,12.87,41.13015925084658,0.0,0.0,30,2585.333333333333,792.6501743206613,2543.5,803.0,30,5943.4,443.5360732520661,5863.5,490.5
no_twin,line_overload_count,100,5.54,6.428189182158236,4.0,6.25,30,0.4666666666666667,1.252124631158585,0.0,0.0,30,101.73333333333332,53.56332593349176,96.0,83.25
no_twin,switching_operations,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_twin,number_of_islands,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
no_twin,isolated_nodes,100,0.0,0.0,0.0,0.0,30,25.166666666666668,6.868636030504181,25.0,9.75,30,36.833333333333336,2.6792090100513306,38.0,3.0
no_twin,actions_taken,100,200.0,0.0,200.0,0.0,30,200.0,0.0,200.0,0.0,30,200.0,0.0,200.0,0.0
no_twin,frequency_deviation_count,100,9667.7,219.52167928650616,9800.0,196.0,30,7898.8,1155.3599648057143,8158.5,1874.25,30,9775.5,107.46924179054434,9800.0,0.0
no_twin,average_voltage_pu,100,0.9594897959183676,0.0058456281091607,0.961428571428572,0.0,30,0.4721632653061224,0.1336301760126579,0.4756122448979591,0.19,30,0.2447414965986394,0.0526760142686895,0.2220408163265305,0.0587755102040816
no_twin,minimum_voltage_pu,100,0.8550000000000001,0.2864357773488754,0.95,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_twin,maximum_voltage_pu,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
