# per_policy_summary
controller_label,n_valid_runs,active_modules,disabled_modules,metric,n,mean,std,median,min,max,ci95_low,ci95_high
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,line_overload_count,100,5.540000,6.428189,4.000000,0.000000,35.000000,4.280075,6.799925
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,minimum_voltage_pu,100,0.855000,0.286436,0.950000,0.000000,0.950000,0.798859,0.911141
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,maximum_voltage_pu,100,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,average_voltage_pu,100,0.959490,0.005846,0.961429,0.942041,0.961429,0.958344,0.960636
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,operating_cost_usd,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,outage_cost_usd,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,carbon_kg,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,runtime_s,100,1.514525,0.101966,1.517800,1.271600,1.793500,1.494540,1.534510
no_lstm,100,dqn;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,lstm,saifi,100,0.061224,0.000000,0.061224,0.061224,0.061224,0.061224,0.061224
no_lstm,100,dqn;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,lstm,saidi,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
