policy,metric,escalation,n_common_seeds,a_median,b_median,median_abs_change,median_rel_change_pct,wilcoxon_stat,wilcoxon_p
no_lstm,ens,A_nominal -> B_moderate,30,30.0,50.0,20.0,66.66666666666666,0.0,4.320463057827488e-08
no_lstm,ens,A_nominal -> B_severe,30,30.0,80.0,50.0,166.66666666666669,0.0,6.79884997479191e-08
no_lstm,saidi,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,saidi,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,saifi,A_nominal -> B_moderate,30,0.061224489795918366,0.10204081632653061,0.04081632653061225,66.66666666666667,0.0,4.320463057827488e-08
no_lstm,saifi,A_nominal -> B_severe,30,0.061224489795918366,0.16326530612244897,0.1020408163265306,166.66666666666666,0.0,6.79884997479191e-08
no_lstm,restoration_time_seconds,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,restoration_time_seconds,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,critical_load_restored_pct,A_nominal -> B_moderate,30,100.0,0.0,-100.0,-100.0,0.0,1.8022101049184185e-05
no_lstm,critical_load_restored_pct,A_nominal -> B_severe,30,100.0,0.0,-100.0,-100.0,0.0,1.975565679194216e-07
no_lstm,voltage_violation_count,A_nominal -> B_moderate,30,0.0,2543.5,2543.5,,0.0,1.7343976283205784e-06
no_lstm,voltage_violation_count,A_nominal -> B_severe,30,0.0,5863.5,5844.0,,0.0,1.7343976283205784e-06
no_lstm,line_overload_count,A_nominal -> B_moderate,30,5.0,0.0,-5.0,,0.0,5.745590380959015e-05
no_lstm,line_overload_count,A_nominal -> B_severe,30,5.0,96.0,91.5,,0.0,1.7311263949197286e-06
no_lstm,switching_operations,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,switching_operations,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,number_of_islands,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_lstm,number_of_islands,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_lstm,isolated_nodes,A_nominal -> B_moderate,30,0.0,25.0,25.0,,0.0,1.7040659206732472e-06
no_lstm,isolated_nodes,A_nominal -> B_severe,30,0.0,38.0,38.0,,0.0,1.138930880390164e-06
no_lstm,actions_taken,A_nominal -> B_moderate,30,200.0,200.0,0.0,0.0,0.0,1.0
no_lstm,actions_taken,A_nominal -> B_severe,30,200.0,200.0,0.0,0.0,0.0,1.0
no_lstm,frequency_deviation_count,A_nominal -> B_moderate,30,9800.0,8158.5,-1543.5,-15.75,0.0,1.7289484360195754e-06
no_lstm,frequency_deviation_count,A_nominal -> B_severe,30,9800.0,9800.0,0.0,0.0,18.0,0.016858470670592964
no_lstm,average_voltage_pu,A_nominal -> B_moderate,30,0.961428571428572,0.47561224489795917,-0.4761224489795923,-50.02150972667313,0.0,1.7300371292901245e-06
no_lstm,average_voltage_pu,A_nominal -> B_severe,30,0.961428571428572,0.22204081632653058,-0.7200000000000005,-76.42980935875218,0.0,1.3877325930952065e-06
no_lstm,minimum_voltage_pu,A_nominal -> B_moderate,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_lstm,minimum_voltage_pu,A_nominal -> B_severe,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_lstm,maximum_voltage_pu,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_lstm,maximum_voltage_pu,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_lstm,successful_restoration_count,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,successful_restoration_count,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_lstm,controller_runtime_s,A_nominal -> B_moderate,30,0.1159,0.14629999999999999,0.030349999999999995,27.53329229199599,3.0,2.351977194551935e-06
no_lstm,controller_runtime_s,A_nominal -> B_severe,30,0.1159,0.11835000000000001,0.006499999999999999,5.8844703602055475,123.0,0.024307541573261003
no_lstm,runtime_s,A_nominal -> B_moderate,30,1.4872999999999998,1.02495,-0.5441,-35.20999756474143,0.0,1.7343976283205784e-06
no_lstm,runtime_s,A_nominal -> B_severe,30,1.4872999999999998,0.76935,-0.71905,-48.07873095909985,0.0,1.7343976283205784e-06
no_predictive,ens,A_nominal -> B_moderate,30,30.0,50.0,20.0,66.66666666666666,0.0,4.320463057827488e-08
no_predictive,ens,A_nominal -> B_severe,30,30.0,80.0,50.0,166.66666666666669,0.0,6.79884997479191e-08
no_predictive,saidi,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,saidi,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,saifi,A_nominal -> B_moderate,30,0.061224489795918366,0.10204081632653061,0.04081632653061225,66.66666666666667,0.0,4.320463057827488e-08
no_predictive,saifi,A_nominal -> B_severe,30,0.061224489795918366,0.16326530612244897,0.1020408163265306,166.66666666666666,0.0,6.79884997479191e-08
no_predictive,restoration_time_seconds,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,restoration_time_seconds,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,critical_load_restored_pct,A_nominal -> B_moderate,30,100.0,0.0,-100.0,-100.0,0.0,1.8022101049184185e-05
no_predictive,critical_load_restored_pct,A_nominal -> B_severe,30,100.0,0.0,-100.0,-100.0,0.0,1.975565679194216e-07
no_predictive,voltage_violation_count,A_nominal -> B_moderate,30,0.0,2543.5,2543.5,,0.0,1.7343976283205784e-06
no_predictive,voltage_violation_count,A_nominal -> B_severe,30,0.0,5863.5,5844.0,,0.0,1.7343976283205784e-06
no_predictive,line_overload_count,A_nominal -> B_moderate,30,5.0,0.0,-5.0,,0.0,5.745590380959015e-05
no_predictive,line_overload_count,A_nominal -> B_severe,30,5.0,96.0,91.5,,0.0,1.7311263949197286e-06
no_predictive,switching_operations,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,switching_operations,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,number_of_islands,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_predictive,number_of_islands,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_predictive,isolated_nodes,A_nominal -> B_moderate,30,0.0,25.0,25.0,,0.0,1.7040659206732472e-06
no_predictive,isolated_nodes,A_nominal -> B_severe,30,0.0,38.0,38.0,,0.0,1.138930880390164e-06
no_predictive,actions_taken,A_nominal -> B_moderate,30,200.0,200.0,0.0,0.0,0.0,1.0
no_predictive,actions_taken,A_nominal -> B_severe,30,200.0,200.0,0.0,0.0,0.0,1.0
no_predictive,frequency_deviation_count,A_nominal -> B_moderate,30,9800.0,8158.5,-1543.5,-15.75,0.0,1.7289484360195754e-06
no_predictive,frequency_deviation_count,A_nominal -> B_severe,30,9800.0,9800.0,0.0,0.0,18.0,0.016858470670592964
no_predictive,average_voltage_pu,A_nominal -> B_moderate,30,0.961428571428572,0.47561224489795917,-0.4761224489795923,-50.02150972667313,0.0,1.7300371292901245e-06
no_predictive,average_voltage_pu,A_nominal -> B_severe,30,0.961428571428572,0.22204081632653058,-0.7200000000000005,-76.42980935875218,0.0,1.3877325930952065e-06
no_predictive,minimum_voltage_pu,A_nominal -> B_moderate,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_predictive,minimum_voltage_pu,A_nominal -> B_severe,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
no_predictive,maximum_voltage_pu,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_predictive,maximum_voltage_pu,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_predictive,successful_restoration_count,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,successful_restoration_count,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_predictive,controller_runtime_s,A_nominal -> B_moderate,30,0.1175,0.4071,0.2934,248.69394806735258,0.0,1.7343976283205784e-06
