stress_level,comparison,controller_a,controller_b,outcome_key,outcome_metric,outcome_direction,n_pairs,mean_a,sd_a,median_a,iqr_a,mean_b,sd_b,median_b,iqr_b,ci95_diff_low,ci95_diff_high,paired_abs_diff_mean,paired_abs_diff_median,paired_rel_diff_pct,wilcoxon_stat,wilcoxon_p_raw,t_stat,t_p_raw,cohens_d,cliffs_delta,zero_diff_all,threshold,threshold_kind,threshold_value,wilcoxon_p_holm,t_p_holm
moderate,full_stack vs rule_based,full_stack,rule_based,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs rule_based,full_stack,rule_based,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs dqn_core_only,full_stack,dqn_core_only,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs dqn_core_only,full_stack,dqn_core_only,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs dqn_core_only,full_stack,dqn_core_only,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs dqn_core_only,full_stack,dqn_core_only,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_lstm,full_stack,no_lstm,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_lstm,full_stack,no_lstm,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_lstm,full_stack,no_lstm,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs no_lstm,full_stack,no_lstm,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
