stress_level,anchor,other,metric,n_pairs,median_a,median_b,mean_a,mean_b,median_diff,median_rel_diff_pct,wilcoxon_W,wilcoxon_p,ttest_t,ttest_p,cliffs_delta,holm_p,classification
moderate,full_stack,no_twin,frequency_deviation_count,30,5831.0,5831.0,6038.433333333333,6038.433333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_twin,actions_taken,30,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_twin,runtime_s,30,1.2389999999999999,9.03535,1.3500733333333332,9.003863333333333,-7.7963499999999994,-86.28719418727555,0.0,1.6499006192383092e-06,-41.911671852039014,0.0,-1.0,0.0006335618377875107,NOT_SUPPORTED
moderate,full_stack,no_twin,controller_runtime_s,30,0.12669999999999998,0.1187,0.13164333333333333,0.11931333333333334,0.00799999999999998,6.739679865206385,136.0,0.046028681441402375,2.806957649443614,0.006760194570736733,0.39111111111111113,1.0,INCONCLUSIVE
moderate,full_stack,no_twin,power_flow_runtime_s,30,0.4255,0.42910000000000004,0.46416666666666667,0.43587,-0.0036000000000000476,-0.8389652761594144,216.0,0.7265926839615493,1.5974798952420597,0.12321696709714502,0.011111111111111112,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,stress_cumulative_unserved_energy,30,0.0,0.0,6.6112518482176865,6.6112518482176865,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,resilience_time_to_50pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,stress_critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,saidi,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,saifi,30,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,voltage_violation_count,30,0.0,0.0,29.433333333333334,29.433333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,line_overload_count,30,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,number_of_islands,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,resilience_loss_area,30,0.0,0.0,23.736455371831237,23.736455371831237,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,resilience_time_to_90pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,stress_critical_load_interrupted_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,stress_critical_load_restored_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,stress_cum_feasible_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,stress_cum_unserved_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,stress_restoration_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,ens,30,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,restoration_time_seconds,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,no_predictive,switching_operations,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
