stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,persistence,23,True,,5,0.10204081632653061,0.0,138.0,-4.0,50.0,0.0,0.8037,0.0,0.0,22.4502,0,5,1,32,0,0,0,0,0,0.0,1.0,0.33918367346938777,4086,6762,0,36.6909,0.0,0.0,0.0,0.4938,0.0004,0.1834,1163.2167568947127,10.183813870409535,0.0,0.0,113.72211478890009,0,0,0.0,0.8037450699700838,-0.8037450699700838,100.0,0.0,5,0
moderate,persistence,24,True,,5,0.10204081632653061,0.0,121.0,-4.0,50.0,0.0,0.7303,0.0,0.0,23.7904,0,5,1,33,0,0,0,0,0,0.0,1.0,0.3195918367346939,2977,5929,0,34.9075,0.0,0.0,0.0,0.5488,0.0005,0.2093,804.2833268718146,11.528146648194472,0.0,0.0,69.26692363622759,0,0,0.0,0.7303011468297756,-0.7303011468297756,100.0,0.0,5,0
moderate,persistence,25,True,,5,0.10204081632653061,0.0,123.0,-4.0,50.0,0.0,0.7921,0.7921,100.0,24.2158,0,5,1,23,0,0,0,0,0,0.0,1.0,0.5138775510204081,2573,6027,0,38.5899,0.0,0.0,0.0,0.5541,0.0004,0.2113,907.5682335222099,8.4728607403391,0.0,0.0,106.62103885654795,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,persistence,26,True,,5,0.10204081632653061,0.0,124.0,-4.0,50.0,0.0,0.7043,0.0,0.0,24.3043,0,5,1,23,0,0,0,0,0,0.0,1.0,0.513673469387755,2959,6076,0,38.5984,0.0,0.0,0.0,0.5486,0.0004,0.2071,1076.838686924415,8.174760158169457,0.0,0.0,131.22725145315422,0,0,0.0,0.7043038896315582,-0.7043038896315582,100.0,0.0,4,0
moderate,persistence,27,True,,5,0.10204081632653061,0.0,181.0,-4.0,50.0,0.0,1.3746,0.0,0.0,25.1895,0,5,1,25,0,0,0,0,0,0.0,1.0,0.4755102040816327,2880,8869,0,42.6958,0.0,0.0,0.0,0.5664,0.0004,0.2136,889.2860341037918,9.90696531335666,0.0,0.0,89.2810307501808,0,0,0.0,1.3745582059217742,-1.3745582059217742,100.0,0.0,4,0
moderate,persistence,28,True,,5,0.10204081632653061,0.0,108.0,-4.0,50.0,0.0,1.0838,0.0,0.0,23.9405,0,5,1,25,0,0,0,0,0,0.0,1.0,0.4755102040816327,3650,5292,0,38.0219,0.0,0.0,0.0,0.5177,0.0004,0.1928,1411.5514692957815,9.715846126992863,0.0,0.0,144.78390849736866,0,0,0.0,1.0837919774938536,-1.0837919774938536,100.0,0.0,3,0
moderate,persistence,29,True,,5,0.10204081632653061,0.0,155.0,-4.0,50.0,0.0,0.8303,0.0,0.0,20.8607,0,5,1,30,0,0,0,0,0,0.0,1.0,0.37857142857142856,2588,7595,0,38.2582,0.0,0.0,0.0,0.5652,0.0004,0.2151,867.5587131032303,8.391992709776353,0.0,0.0,102.88466191426916,0,0,0.0,0.8303193820152972,-0.8303193820152972,100.0,0.0,5,0
moderate,random,0,True,,5,0.10204081632653061,0.0,105.0,-4.0,50.0,0.0,1.3208,0.0,0.0,24.5853,0,5,1,23,0,200,0,0,0,0.0,1.0,0.513673469387755,2845,5145,0,36.6564,0.0,0.0,0.0,0.5361,0.001,0.2027,1068.2344641141806,8.63061251781503,0.0,0.0,123.27272898176881,0,0,0.0,1.320831769476317,-1.320831769476317,100.0,0.0,4,0
moderate,random,1,True,,5,0.10204081632653061,0.0,115.0,-4.0,50.0,0.0,1.4543,1.4543,100.0,24.2637,0,5,1,18,0,200,0,0,0,0.0,1.0,0.6114285714285714,2663,5635,0,37.4376,0.0,0.0,0.0,0.5492,0.001,0.2083,931.8381668860583,6.260536786341614,0.0,0.0,148.34648818844505,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,random,2,True,,5,0.10204081632653061,0.0,171.0,-4.0,50.0,0.0,1.2648,0.0,0.0,22.6656,0,5,1,25,0,200,0,0,0,0.0,1.0,0.4757142857142857,3560,8379,0,39.7145,0.0,0.0,0.0,0.5265,0.001,0.1971,802.6813529262313,6.205298057419275,0.0,0.0,128.8546407225719,0,0,0.0,1.264780687862484,-1.264780687862484,100.0,0.0,4,0
