controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
no_lstm,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1434,1.1434,100.0,21.1932,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3514,0.0,0.0,0.0,0.2095,0.0137,0.074
no_lstm,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.9135,0.9135,100.0,19.7679,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,9,55.9725,0.0,0.0,0.0,0.2005,0.0181,0.0721
no_twin,0,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1431,1.1431,100.0,20.1552,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.5983,0.0,0.0,0.0,0.2125,0.0201,0.0792
no_twin,1,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0949,1.0949,100.0,19.3347,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,5,51.3252,0.0,0.0,0.0,0.1959,0.0156,0.0685
no_twin,2,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0405,1.0405,100.0,20.5871,0,2,1,0,0,30,0,0,0,0.0,1.0,0.9420408163265311,24,1470,0,49.2997,0.0,0.0,0.0,0.2012,0.0151,0.0723
no_twin,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1434,1.1434,100.0,21.1932,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3514,0.0,0.0,0.0,0.1871,0.0191,0.0637
no_twin,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.9135,0.9135,100.0,19.7679,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,9,55.9725,0.0,0.0,0.0,0.2099,0.015,0.0758
no_predictive,0,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1431,1.1431,100.0,20.1552,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.5983,0.0,0.0,0.0,0.1747,0.0191,0.0672
no_predictive,1,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0949,1.0949,100.0,19.3347,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,5,51.3252,0.0,0.0,0.0,0.1953,0.0198,0.0757
no_predictive,2,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0405,1.0405,100.0,20.5871,0,2,1,0,0,30,0,0,0,0.0,1.0,0.9420408163265311,24,1470,0,49.2997,0.0,0.0,0.0,0.1701,0.0096,0.0675
no_predictive,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1434,1.1434,100.0,21.1932,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3514,0.0,0.0,0.0,0.1915,0.0181,0.0759
no_predictive,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.9135,0.9135,100.0,19.7679,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,9,55.9725,0.0,0.0,0.0,0.1752,0.014,0.0695
no_reward,0,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1431,1.1431,100.0,20.1552,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.5983,0.0,0.0,0.0,0.2131,0.0171,0.0805
no_reward,1,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0949,1.0949,100.0,19.3347,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,5,51.3252,0.0,0.0,0.0,0.1972,0.0198,0.0704
no_reward,2,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0405,1.0405,100.0,20.5871,0,2,1,0,0,30,0,0,0,0.0,1.0,0.9420408163265311,24,1470,0,49.2997,0.0,0.0,0.0,0.2327,0.0186,0.0836
no_reward,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1434,1.1434,100.0,21.1932,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3514,0.0,0.0,0.0,0.1989,0.016,0.0695
no_reward,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.9135,0.9135,100.0,19.7679,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,9,55.9725,0.0,0.0,0.0,0.214,0.0171,0.0764
